2012-01-24 08:26:21 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:26:21 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:26:51 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:26:51 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:27:04 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:27:04 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:27:04 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:27:04 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:27:06 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:27:06 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:27:06 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:27:06 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:30:30 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:30:30 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:30:30 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:30:30 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:30:34 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:30:34 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:30:34 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:30:34 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:43:19 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:43:19 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:43:19 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:43:19 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:43:22 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:43:22 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:43:22 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
2012-01-24 08:43:22 (MSK)	8 Notice	Undefined offset:  0	File: fns_tinybrowser.php	Line: 340	
2012-01-24 08:43:38 (MSK)	8 Notice	Undefined offset:  1	File: fns_tinybrowser.php	Line: 244	
